index path label eval x_1 y_1 x_2 y_2
0 E:\ODProject\ODProject\Screenshots\screenshot_720x480_0.png truck train 215.4351 127.8506 496.822 293.1602
1 E:\ODProject\ODProject\Screenshots\screenshot_720x480_1.png truck train 210.2418 118.6342 493.4199 297.5288
2 E:\ODProject\ODProject\Screenshots\screenshot_720x480_2.png truck train 237.0051 118.381 498.2325 297.6489
3 E:\ODProject\ODProject\Screenshots\screenshot_720x480_3.png truck train 218.4892 130.0943 434.5858 292.0966
4 E:\ODProject\ODProject\Screenshots\screenshot_720x480_4.png truck train 236.3466 132.8997 495.762 290.7668
5 E:\ODProject\ODProject\Screenshots\screenshot_720x480_5.png truck train 245.5955 132.5622 503.7603 290.9268
6 E:\ODProject\ODProject\Screenshots\screenshot_720x480_6.png truck train 267.4418 126.6327 495.2689 293.7375
7 E:\ODProject\ODProject\Screenshots\screenshot_720x480_7.png truck train 228.1243 133.9559 515.9467 290.2661
8 E:\ODProject\ODProject\Screenshots\screenshot_720x480_8.png truck train 211.1623 99.06982 482.3072 370.2147
9 E:\ODProject\ODProject\Screenshots\screenshot_720x480_9.png truck train 240.0343 84.95569 524.8932 368.4038
10 E:\ODProject\ODProject\Screenshots\screenshot_720x480_10.png truck train 231.7443 62.75064 539.711 319.1623
11 E:\ODProject\ODProject\Screenshots\screenshot_720x480_11.png truck train 220.8113 99.95477 495.6447 355.859
12 E:\ODProject\ODProject\Screenshots\screenshot_720x480_12.png truck train 285.2859 86.82935 499.8584 350.3542
13 E:\ODProject\ODProject\Screenshots\screenshot_720x480_13.png truck train 208.1877 94.59189 511.1367 308.4081
14 E:\ODProject\ODProject\Screenshots\screenshot_720x480_14.png truck train 223.8887 106.5142 490.1713 389.9608
15 E:\ODProject\ODProject\Screenshots\screenshot_720x480_15.png truck train 218.461 74.7439 506.0729 316.757
16 E:\ODProject\ODProject\Screenshots\screenshot_720x480_16.png truck train 224.4739 117.6196 491.8508 389.9861
17 E:\ODProject\ODProject\Screenshots\screenshot_720x480_17.png truck train 232.5008 81.81506 509.5923 309.5475
18 E:\ODProject\ODProject\Screenshots\screenshot_720x480_18.png truck train 238.5479 139.2122 515.7323 362.4362
19 E:\ODProject\ODProject\Screenshots\screenshot_720x480_19.png truck train 243.1761 75.08777 515.0663 311.8521
20 E:\ODProject\ODProject\Screenshots\screenshot_720x480_20.png truck train 205.8897 105.541 507.6259 392.353
21 E:\ODProject\ODProject\Screenshots\screenshot_720x480_21.png truck train 292.6696 105.134 499.2694 337.7712
22 E:\ODProject\ODProject\Screenshots\screenshot_720x480_22.png truck train 235.8281 63.14313 467.3614 350.3348
23 E:\ODProject\ODProject\Screenshots\screenshot_720x480_23.png truck train 244.3906 82.52734 532.9986 362.1031
24 E:\ODProject\ODProject\Screenshots\screenshot_720x480_24.png truck train 249.4575 74.63419 497.7484 296.2302
25 E:\ODProject\ODProject\Screenshots\screenshot_720x480_25.png truck train 200.2775 106.0978 463.1694 373.7139
26 E:\ODProject\ODProject\Screenshots\screenshot_720x480_26.png truck train 226.1762 68.8808 533.0577 353.6375
27 E:\ODProject\ODProject\Screenshots\screenshot_720x480_27.png truck train 243.9574 57.19705 500.1852 339.2652
28 E:\ODProject\ODProject\Screenshots\screenshot_720x480_28.png truck train 244.6793 133.775 526.1665 361.7479
29 E:\ODProject\ODProject\Screenshots\screenshot_720x480_29.png truck train 223.811 60.582 462.3492 344.3644
30 E:\ODProject\ODProject\Screenshots\screenshot_720x480_30.png truck train 274.8579 73.18051 535.1254 367.7897
31 E:\ODProject\ODProject\Screenshots\screenshot_720x480_31.png truck train 268.9763 91.63458 527.8455 383.7016
32 E:\ODProject\ODProject\Screenshots\screenshot_720x480_32.png truck train 250.2071 95.51031 497.6461 358.4517
33 E:\ODProject\ODProject\Screenshots\screenshot_720x480_33.png truck train 250.2095 79.10226 515.9575 363.5655
34 E:\ODProject\ODProject\Screenshots\screenshot_720x480_34.png truck train 275.5961 108.5183 521.0715 377.6143
35 E:\ODProject\ODProject\Screenshots\screenshot_720x480_35.png truck train 237.7931 74.96149 499.2738 361.5635
36 E:\ODProject\ODProject\Screenshots\screenshot_720x480_36.png truck train 273.4875 94.80951 505.8381 349.7302
37 E:\ODProject\ODProject\Screenshots\screenshot_720x480_37.png truck train 238.2358 109.6126 512.7378 356.9667
38 E:\ODProject\ODProject\Screenshots\screenshot_720x480_38.png truck train 238.8336 90.01895 518.2831 393.2026
39 E:\ODProject\ODProject\Screenshots\screenshot_720x480_39.png truck train 200.9999 90.74347 493.5687 401.4644
40 E:\ODProject\ODProject\Screenshots\screenshot_720x480_40.png truck train 202.1557 98.41711 514.438 386.07
41 E:\ODProject\ODProject\Screenshots\screenshot_720x480_41.png truck train 235.3647 135.6643 507.1889 304.6642
42 E:\ODProject\ODProject\Screenshots\screenshot_720x480_42.png truck train 217.3529 99.28033 501.188 361.4485
43 E:\ODProject\ODProject\Screenshots\screenshot_720x480_43.png truck train 235.4218 98.54608 520.861 349.0984
44 E:\ODProject\ODProject\Screenshots\screenshot_720x480_44.png truck train 218.8426 79.26978 502.0292 310.7805
45 E:\ODProject\ODProject\Screenshots\screenshot_720x480_45.png truck train 276.286 76.53671 470.7693 359.0409
46 E:\ODProject\ODProject\Screenshots\screenshot_720x480_46.png truck train 284.187 94.4129 514.8686 382.3598
47 E:\ODProject\ODProject\Screenshots\screenshot_720x480_47.png truck train 243.8179 89.67218 477.6697 374.9839
48 E:\ODProject\ODProject\Screenshots\screenshot_720x480_48.png truck train 249.3327 98.63062 508.2588 363.5701
49 E:\ODProject\ODProject\Screenshots\screenshot_720x480_49.png truck train 280.2773 74.78589 474.6985 363.9443
50 E:\ODProject\ODProject\Screenshots\screenshot_720x480_50.png truck train 272.1 152.4393 489.1172 394.4189
51 E:\ODProject\ODProject\Screenshots\screenshot_720x480_51.png truck train 274.5073 54.211 472.8398 301.7461
52 E:\ODProject\ODProject\Screenshots\screenshot_720x480_52.png truck train 285.6102 94.58817 515.7994 379.1586
53 E:\ODProject\ODProject\Screenshots\screenshot_720x480_53.png truck train 272.8382 78.53931 466.2362 360.248
54 E:\ODProject\ODProject\Screenshots\screenshot_720x480_54.png truck train 284.9659 86.87793 486.3036 385.9976
55 E:\ODProject\ODProject\Screenshots\screenshot_720x480_55.png truck train 292.398 82.82312 452.9554 344.7852
56 E:\ODProject\ODProject\Screenshots\screenshot_720x480_56.png truck train 198.1186 53.8587 469.1726 362.2375
57 E:\ODProject\ODProject\Screenshots\screenshot_720x480_57.png truck train 241.407 117.207 500.0396 393.6852
58 E:\ODProject\ODProject\Screenshots\screenshot_720x480_58.png truck train 205.4986 127.2021 478.5282 368.0608
59 E:\ODProject\ODProject\Screenshots\screenshot_720x480_59.png truck train 231.4486 87.815 514.0259 343.5953
60 E:\ODProject\ODProject\Screenshots\screenshot_720x480_60.png truck train 227.6475 72.25314 488.0356 336.8477
61 E:\ODProject\ODProject\Screenshots\screenshot_720x480_61.png truck train 206.4721 87.6673 468.7659 393.1474
62 E:\ODProject\ODProject\Screenshots\screenshot_720x480_62.png truck train 283.7015 104.8724 508.0691 382.7998
63 E:\ODProject\ODProject\Screenshots\screenshot_720x480_63.png truck train 260.3196 90.25537 499.755 348.7355
64 E:\ODProject\ODProject\Screenshots\screenshot_720x480_64.png truck train 241.8845 98.11581 513.3472 361.5923
65 E:\ODProject\ODProject\Screenshots\screenshot_720x480_65.png truck train 253.1777 96.09402 533.8136 322.7398
66 E:\ODProject\ODProject\Screenshots\screenshot_720x480_66.png truck train 229.6349 133.0718 515.8578 376.0043
67 E:\ODProject\ODProject\Screenshots\screenshot_720x480_67.png truck train 235.1548 69.76984 514.3042 320.4663
68 E:\ODProject\ODProject\Screenshots\screenshot_720x480_68.png truck train 247.1769 139.8236 504.5039 364.0607
69 E:\ODProject\ODProject\Screenshots\screenshot_720x480_69.png truck train 239.5511 118.7898 537.8719 368.4029
70 E:\ODProject\ODProject\Screenshots\screenshot_720x480_70.png truck train 229.9404 60.34732 541.5411 340.3839
71 E:\ODProject\ODProject\Screenshots\screenshot_720x480_71.png truck train 229.9404 60.34735 541.5411 340.3839
72 E:\ODProject\ODProject\Screenshots\screenshot_720x480_72.png truck train 242.9226 131.5832 542.6213 357.4557
73 E:\ODProject\ODProject\Screenshots\screenshot_720x480_73.png truck train 230.5958 116.0135 525.4815 377.2
74 E:\ODProject\ODProject\Screenshots\screenshot_720x480_74.png truck train 233.5264 83.37039 533.3743 350.6937
75 E:\ODProject\ODProject\Screenshots\screenshot_720x480_75.png truck train 235.8989 107.9621 538.3824 378.7214
76 E:\ODProject\ODProject\Screenshots\screenshot_720x480_76.png truck train 239.8082 101.2851 515.4628 358.6588
77 E:\ODProject\ODProject\Screenshots\screenshot_720x480_77.png truck train 277.7965 66.31781 523.6121 339.872
78 E:\ODProject\ODProject\Screenshots\screenshot_720x480_78.png truck train 270.2049 88.5477 500.2791 365.2735
79 E:\ODProject\ODProject\Screenshots\screenshot_720x480_79.png truck train 241.3106 56.12839 469.1867 368.4569
80 E:\ODProject\ODProject\Screenshots\screenshot_720x480_80.png truck train 207.0916 88.35004 500.065 397.0436
81 E:\ODProject\ODProject\Screenshots\screenshot_720x480_81.png truck train 251.5339 143.9014 527.2798 356.1524
82 E:\ODProject\ODProject\Screenshots\screenshot_720x480_82.png truck train 235.5461 119.716 515.5063 330.4512
83 E:\ODProject\ODProject\Screenshots\screenshot_720x480_83.png truck train 270.4757 100.1265 545.2101 317.5272
84 E:\ODProject\ODProject\Screenshots\screenshot_720x480_84.png truck train 240.6927 96.69482 504.982 323.4377
85 E:\ODProject\ODProject\Screenshots\screenshot_720x480_85.png truck train 274.6152 102.1523 470.5698 370.9848
86 E:\ODProject\ODProject\Screenshots\screenshot_720x480_86.png truck train 263.5235 96.57648 479.2176 393.7336
87 E:\ODProject\ODProject\Screenshots\screenshot_720x480_87.png truck train 277.0611 90.16434 499.8641 353.9178
88 E:\ODProject\ODProject\Screenshots\screenshot_720x480_88.png truck train 253.5918 50.65344 486.8478 361.4733
89 E:\ODProject\ODProject\Screenshots\screenshot_720x480_89.png truck train 276.8251 113.2745 509.2933 392.0224
90 E:\ODProject\ODProject\Screenshots\screenshot_720x480_90.png truck train 229.1934 75.54468 480.763 346.4589
91 E:\ODProject\ODProject\Screenshots\screenshot_720x480_91.png truck train 244.2681 97.20428 494.9833 371.352
92 E:\ODProject\ODProject\Screenshots\screenshot_720x480_92.png truck train 228.3893 59.07739 499.482 347.1823
93 E:\ODProject\ODProject\Screenshots\screenshot_720x480_93.png truck train 235.0215 91.10815 472.7921 358.2845
94 E:\ODProject\ODProject\Screenshots\screenshot_720x480_94.png truck train 282.79 81.1199 503.3899 368.4531
95 E:\ODProject\ODProject\Screenshots\screenshot_720x480_95.png truck train 285.5278 90.5697 426.1556 347.8311
96 E:\ODProject\ODProject\Screenshots\screenshot_720x480_96.png truck train 202.5001 45.75604 512.931 366.2867
97 E:\ODProject\ODProject\Screenshots\screenshot_720x480_97.png truck train 236.2823 165.453 515.568 363.4075
98 E:\ODProject\ODProject\Screenshots\screenshot_720x480_98.png truck train 215.51 112.658 498.0081 343.8044
99 E:\ODProject\ODProject\Screenshots\screenshot_720x480_99.png truck train 228.7181 61.56241 533.9291 331.0822
100 E:\ODProject\ODProject\Screenshots\screenshot_720x480_100.png truck train 236.0003 133.9319 511.6372 303.1486
101 E:\ODProject\ODProject\Screenshots\screenshot_720x480_101.png truck train 198.8579 97.35425 476.1454 370.4639
102 E:\ODProject\ODProject\Screenshots\screenshot_720x480_102.png truck train 259.7449 94.2001 483.9285 401.7834
103 E:\ODProject\ODProject\Screenshots\screenshot_720x480_103.png truck train 270.9084 93.72116 527.3488 396.9506
104 E:\ODProject\ODProject\Screenshots\screenshot_720x480_104.png truck train 240.3317 101.5921 531.645 338.1137
105 E:\ODProject\ODProject\Screenshots\screenshot_720x480_105.png truck train 226.0598 90.92142 499.1136 368.0908
106 E:\ODProject\ODProject\Screenshots\screenshot_720x480_106.png truck train 224.0043 77.29489 523.8384 345.521
107 E:\ODProject\ODProject\Screenshots\screenshot_720x480_107.png truck train 241.9173 111.5732 518.6403 356.4771
108 E:\ODProject\ODProject\Screenshots\screenshot_720x480_108.png truck train 241.0522 89.62753 539.6021 394.7335
109 E:\ODProject\ODProject\Screenshots\screenshot_720x480_109.png truck train 233.1917 81.67935 522.189 327.9255
110 E:\ODProject\ODProject\Screenshots\screenshot_720x480_110.png truck train 229.5368 67.53912 527.2534 334.551
111 E:\ODProject\ODProject\Screenshots\screenshot_720x480_111.png truck train 251.0845 88.12433 534.3942 345.0682
112 E:\ODProject\ODProject\Screenshots\screenshot_720x480_112.png truck train 246.8695 56.91455 496.1087 363.0171
113 E:\ODProject\ODProject\Screenshots\screenshot_720x480_113.png truck train 193.4689 87.20093 515.0699 400.6444
114 E:\ODProject\ODProject\Screenshots\screenshot_720x480_114.png truck train 248.236 79.85995 505.4545 350.9875
115 E:\ODProject\ODProject\Screenshots\screenshot_720x480_115.png truck train 200.1741 103.0039 508.2729 395.0775
116 E:\ODProject\ODProject\Screenshots\screenshot_720x480_116.png truck train 302.7806 76.26511 480.1181 348.6832
117 E:\ODProject\ODProject\Screenshots\screenshot_720x480_117.png truck train 227.0323 87.48569 548.4873 401.3507
118 E:\ODProject\ODProject\Screenshots\screenshot_720x480_118.png truck train 224.378 77.31808 481.7204 372.7882
119 E:\ODProject\ODProject\Screenshots\screenshot_720x480_119.png truck train 251.135 94.09607 521.5097 369.6496
120 E:\ODProject\ODProject\Screenshots\screenshot_720x480_120.png truck train 228.9339 83.77133 501.9872 350.4207
121 E:\ODProject\ODProject\Screenshots\screenshot_720x480_121.png truck train 206.3349 96.32065 513.3319 394.1634
122 E:\ODProject\ODProject\Screenshots\screenshot_720x480_122.png truck train 262.1874 79.16089 494.7592 300.8306
123 E:\ODProject\ODProject\Screenshots\screenshot_720x480_123.png truck train 230.8806 157.8185 508.6534 372.6017
124 E:\ODProject\ODProject\Screenshots\screenshot_720x480_124.png truck train 245.9557 64.4834 522.0121 357.6543
125 E:\ODProject\ODProject\Screenshots\screenshot_720x480_125.png truck train 236.4951 77.53665 514.0365 322.8016
126 E:\ODProject\ODProject\Screenshots\screenshot_720x480_126.png truck train 259.4211 71.62103 538.0458 357.5726
127 E:\ODProject\ODProject\Screenshots\screenshot_720x480_127.png truck train 226.4993 80.28418 481.1559 372.2999
128 E:\ODProject\ODProject\Screenshots\screenshot_720x480_128.png truck train 244.8692 120.332 515.3821 361.8943
129 E:\ODProject\ODProject\Screenshots\screenshot_720x480_129.png truck train 276.0245 80.31085 454.0471 349.4791
130 E:\ODProject\ODProject\Screenshots\screenshot_720x480_130.png truck train 230.6489 64.82547 526.8179 341.9208
131 E:\ODProject\ODProject\Screenshots\screenshot_720x480_131.png truck train 247.4045 126.7525 442.7477 395.0853
132 E:\ODProject\ODProject\Screenshots\screenshot_720x480_132.png truck train 269.9512 82.12939 516.8589 372.8674
133 E:\ODProject\ODProject\Screenshots\screenshot_720x480_133.png truck train 230.9375 98.1279 507.0756 306.754
134 E:\ODProject\ODProject\Screenshots\screenshot_720x480_134.png truck train 224.2704 75.79926 478.8099 369.0099
135 E:\ODProject\ODProject\Screenshots\screenshot_720x480_135.png truck train 229.9807 89.08563 532.4874 387.6135
136 E:\ODProject\ODProject\Screenshots\screenshot_720x480_136.png truck train 234.8118 145.3732 482.4161 399.9288
137 E:\ODProject\ODProject\Screenshots\screenshot_720x480_137.png truck train 203.3337 107.9957 481.4854 375.025
138 E:\ODProject\ODProject\Screenshots\screenshot_720x480_138.png truck train 215.9144 95.75934 523.733 297.8564
